Country	Region	Species	Count	lat	lng
China	Ankang, Shanxi, replicate 4	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 5	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 6	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 7	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 8	Apis cerana	1	35.8617	104.1954
China	Ankang, Shanxi, replicate 9	Apis cerana	1	35.8617	104.1954
China	Badong	Apis cerana	10	35.8617	104.1954
China	Baisha, Hainan	Apis cerana	3	35.8617	104.1954
China	Baishan, Jilin	Apis cerana	2	35.8617	104.1954
China	Baoji, Shaanxi	Apis cerana	6	35.8617	104.1954
China	Baoshan, Yunnan	Apis cerana	5	35.8617	104.1954
China	Beijing	Apis cerana	3	39.9042	116.4074
China	Beijing	Apis mellifera	60	39.9042	116.4074
China	Bijie, Guizhou	Apis cerana	9	35.8617	104.1954
China	Bomi, Tibet	Apis cerana	19	35.8617	104.1954
China	Bomi, Tibet, replicate 1	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 10	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 2	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 3	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 4	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 5	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 6	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 7	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 8	Apis cerana	1	35.8617	104.1954
China	Bomi, Tibet, replicate 9	Apis cerana	1	35.8617	104.1954
China	Chuxiong, Yunnan	Apis cerana	2	35.8617	104.1954
China	Dali, Yunnan	Apis cerana	5	35.8617	104.1954
China	Dengfeng, Henan	Apis cerana	2	35.8617	104.1954
China	Dingxi, Gansu	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Diqing, Yunnan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Dongning, Heilongjiang	Apis cerana	1	35.8617	104.1954
China	Dunhua, Jilin	Apis cerana	2	35.8617	104.1954
China	Fangchenggang, Guangxi	Apis cerana	2	35.8617	104.1954
China	FuJian Province, LongYang City	Apis cerana	3	25.08	117.02
China	GanSu Province, LongNan City	Apis cerana	3	33.4	104.9
China	GanSu Province, QingYang City	Apis cerana	3	35.7	107.6
China	Gansu, Tianshui	Apis cerana	10	35.8617	104.1954
China	Gaoan, Jiangxi	Apis cerana	5	35.8617	104.1954
China	Gaozhou, Guangdong	Apis cerana	4	35.8617	104.1954
China	Guangdong	Apis cerana	1	35.8617	104.1954
China	Guangxi, Chongzuo	Apis dorsata	7	35.8617	104.1954
China	Guangxi, Nanning	Apis dorsata	2	35.8617	104.1954
China	Guangzhou	Apis cerana cerana	10	35.8617	104.1954
China	Guangzhou, Guangdong	Apis cerana	4	35.8617	104.1954
China	Guide, Qinghai	Apis cerana	10	35.8617	104.1954
China	Guiling, Guangxi	Apis cerana	1	35.8617	104.1954
China	Guizhou	Apis cerana	121	26.8154	106.8748
China	Guyuan, Ningxia	Apis cerana	3	35.8617	104.1954
China	Guyuan, Ningxia, replicate 1	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 10	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 2	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 3	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 4	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 5	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 6	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 7	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 8	Apis cerana	1	35.8617	104.1954
China	Guyuan, Ningxia, replicate 9	Apis cerana	1	35.8617	104.1954
China	Haiko, Hainan	Apis cerana	4	35.8617	104.1954
China	Haikou, Hainan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Haikou, Hainan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Hainan	Apis cerana	1	35.8617	104.1954
China	Hainan Province, Haikou City	Apis cerana	3	20.0174	110.3312
China	Hainan, Baoting	Apis dorsata	4	35.8617	104.1954
China	Hainan, Qiongzhong	Apis dorsata	5	35.8617	104.1954
China	HeBei Province, XingLong City	Apis cerana	3	40.41	117.5
China	Hechi, Guangxi, replicate 1	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 10	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 2	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 3	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 4	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 5	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 6	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 7	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 8	Apis cerana	1	35.8617	104.1954
China	Hechi, Guangxi, replicate 9	Apis cerana	1	35.8617	104.1954
China	Heishui, Aba, Sichuan	Apis cerana	1	35.8617	104.1954
China	Hezhou, Guangxi	Apis cerana	1	35.8617	104.1954
China	Hianan	Apis cerana	1	35.8617	104.1954
China	HongKong	Apis cerana	1	35.8617	104.1954
China	Honhe, Yunnan	Apis cerana	3	35.8617	104.1954
China	HuNan Province, ChangDe City	Apis cerana	3	29.03	111.68
China	Huangshan, Anhui	Apis cerana	1	35.8617	104.1954
China	Huizhou, Guangdong	Apis cerana	1	35.8617	104.1954
China	Huludao, Liaoning	Apis cerana	5	35.8617	104.1954
China	Inner Mongolie	Apis cerana	3	35.8617	104.1954
China	JiangXi Province, YiChun City	Apis cerana	3	27.8	114.38
China	Jiangsu Yangzhou	Apis cerana	2	35.8617	104.1954
China	Jiangxi	Apis cerana	4	35.8617	104.1954
China	Jilin Province, JilinCity	Apis cerana	3	43.8378	126.5494
China	Jilin, Jilin	Apis cerana	3	35.8617	104.1954
China	Jilong, Rikaze, Tibet	Apis cerana	6	35.8617	104.1954
China	Jilong, Taiwan	Apis cerana	6	35.8617	104.1954
China	Jincheng, Shanxi	Apis cerana	3	35.8617	104.1954
China	Jinchuan, Aba, Sichuan	Apis cerana	6	35.8617	104.1954
China	Jinhua, Zhejiang	Apis cerana	7	35.8617	104.1954
China	Jinzhai	Apis cerana cerana	10	35.8617	104.1954
China	Jiujiang, Jiangxi	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Jiuzhai, Sichuan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Kunming	Apis cerana cerana	32	25.0422	102.71
China	Lijiang, Yunnan	Apis cerana	1	35.8617	104.1954
China	Linyi, Shandong	Apis cerana	4	35.8617	104.1954
China	Lizi	Apis cerana	9	35.8617	104.1954
China	Longnan, Gansu	Apis cerana	9	35.8617	104.1954
China	Lushui, Yunnan	Apis cerana	5	35.8617	104.1954
China	Maerkang, Aba, Sichuan	Apis cerana	18	35.8617	104.1954
China	Maerkang, Sichuan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Maerkang, Sichuan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Mangkang	Apis cerana cerana	10	35.8617	104.1954
China	Mengyin, Shandong, replicate 1	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 10	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 2	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 3	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 4	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 5	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 6	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 7	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 8	Apis cerana	1	35.8617	104.1954
China	Mengyin, Shandong, replicate 9	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 1	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 10	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 2	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 3	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 4	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 5	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 6	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 7	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 8	Apis cerana	1	35.8617	104.1954
China	Minxian, Gansu, replicate 9	Apis cerana	1	35.8617	104.1954
China	Nanchang, Jiangxi	Apis cerana	4	35.8617	104.1954
China	Nanning, Guangxi	Apis cerana	1	35.8617	104.1954
China	Nanping, Fujian	Apis cerana	5	35.8617	104.1954
China	Nayong, Guizhou, replicate 1	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 10	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 2	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 3	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 4	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 5	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 6	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 7	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 8	Apis cerana	1	35.8617	104.1954
China	Nayong, Guizhou, replicate 9	Apis cerana	1	35.8617	104.1954
China	NingXia Province, GuYuan City	Apis cerana	3	36.0	106.28
China	Pingwu, Sichuan	Apis cerana	5	35.8617	104.1954
China	Puer, Yunnan	Apis cerana	5	35.8617	104.1954
China	Qimen	Apis cerana cerana	10	35.8617	104.1954
China	Qinghai	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 1	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 10	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 2	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 3	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 4	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 5	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 6	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 7	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 8	Apis cerana	1	35.8617	104.1954
China	Qingyuan, Liaoning, replicate 9	Apis cerana	1	35.8617	104.1954
China	Sanya, Hainan	Apis cerana	5	35.8617	104.1954
China	ShaanXi Province, BaoJi City	Apis cerana	3	34.35	107.15
China	ShanDong Province, ZiBo City	Apis cerana	3	36.81	118.05
China	ShanXi Province, XiAn City	Apis cerana	3	34.2658	108.9544
China	Shanghai	Apis cerana	1	35.8617	104.1954
China	Shangrao, Jiangxi	Apis cerana	2	35.8617	104.1954
China	Shanqing	Apis cerana	9	35.8617	104.1954
China	Shennongjia	Apis cerana	8	35.8617	104.1954
China	Shennongjia	Apis cerana cerana	10	35.8617	104.1954
China	Shennongjia, Hubei, replicate 1	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 10	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 2	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 3	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 4	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 5	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 6	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 7	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 8	Apis cerana	1	35.8617	104.1954
China	Shennongjia, Hubei, replicate 9	Apis cerana	1	35.8617	104.1954
China	Shennonjia, Hubei	Apis cerana	5	35.8617	104.1954
China	Shijiazhuang, Hebei	Apis cerana	5	35.8617	104.1954
China	Shiyan	Apis cerana	9	35.8617	104.1954
China	Sichuan	Apis cerana	1	30.657	104.066
China	Sichuan Kangding	Apis cerana	6	35.8617	104.1954
China	Sichuan Province, Maerkang City	Apis cerana	12	31.9	102.2
China	Sichuan,Muping	Apis cerana	1	30.657	104.066
China	Suining, Sichuan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Suining, Sichuan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Suizhou	Apis cerana	9	35.8617	104.1954
China	Suzhou	Apis cerana cerana	10	35.8617	104.1954
China	Taishui, Gansu	Apis cerana	1	35.8617	104.1954
China	Taiwan	Apis cerana	1	35.8617	104.1954
China	Tianshui, Gansu	Apis cerana	2	35.8617	104.1954
China	Tibet	Apis cerana	2	35.8617	104.1954
China	Tibet, Linzhi	Apis laboriosa	4	35.8617	104.1954
China	Tibet, Rikaze	Apis laboriosa	6	35.8617	104.1954
China	Tongshan	Apis cerana	5	35.8617	104.1954
China	Unknown	Apis mellifera	10	35.8617	104.1954
China	Weixi, Diqing, Yunnan	Apis cerana	2	35.8617	104.1954
China	Wenchang	Apis cerana cerana	10	35.8617	104.1954
China	Wenchang, Hainan	Apis cerana	9	35.8617	104.1954
China	Wufeng	Apis cerana	9	35.8617	104.1954
China	Wulong, Chongqing	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 1	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 10	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 2	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 3	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 4	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 5	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 6	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 7	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 8	Apis cerana	1	35.8617	104.1954
China	Xian, Shanxi, replicate 9	Apis cerana	1	35.8617	104.1954
China	Xianyang, Shaanxi	Apis cerana	2	35.8617	104.1954
China	Xinxiang, Henan	Apis cerana	3	35.8617	104.1954
China	Xishaungbanna, Yunnan	Apis cerana	10	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 1	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 10	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 2	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 3	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 4	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 5	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 6	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 7	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 8	Apis cerana	1	35.8617	104.1954
China	Xishuangbanna, Yunnan, replicate 9	Apis cerana	1	35.8617	104.1954
China	Xunhua, Qinghai	Apis cerana	10	35.8617	104.1954
China	Yadong, Rikaze, Tibet	Apis cerana	3	35.8617	104.1954
China	Yanan, Shaanxi	Apis cerana	5	35.8617	104.1954
China	Yanbian, Jilin	Apis cerana	3	35.8617	104.1954
China	Yichun, Jiangxi	Apis cerana	1	35.8617	104.1954
China	Yilan, Taiwan	Apis cerana	5	35.8617	104.1954
China	Yingshan	Apis cerana	4	35.8617	104.1954
China	Yongxing, Hainan	Apis cerana	5	35.8617	104.1954
China	Yuanna	Apis cerana	1	35.8617	104.1954
China	Yuannan	Apis cerana	6	35.8617	104.1954
China	Yulin, Shanxi, replicate 1	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 10	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 2	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 3	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 4	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 5	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 6	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 7	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 8	Apis cerana	1	35.8617	104.1954
China	Yulin, Shanxi, replicate 9	Apis cerana	1	35.8617	104.1954
China	YunNan Province, PuEr City	Apis cerana	3	22.79	100.97
China	Yunnan	Apis cerana	12	35.8617	104.1954
China	Yunnan, Baoshan	Apis laboriosa	6	35.8617	104.1954
China	Yunnan, Deqin	Apis cerana	10	35.8617	104.1954
China	Yunnan, Diqing	Apis laboriosa	4	35.8617	104.1954
China	Yunnan, Hekou	Apis cerana	15	35.8617	104.1954
China	Yunnan, Honghe	Apis laboriosa	9	35.8617	104.1954
China	Yunnan, Kunming	Apis cerana	5	35.8617	104.1954
China	Yunnan, Lijiang	Apis cerana	10	35.8617	104.1954
China	Yunnan, Puer	Apis dorsata	3	35.8617	104.1954
China	Yunnan, Xishuangbanna	Apis cerana	10	35.8617	104.1954
China	Yunnan, Xishuangbanna	Apis dorsata	7	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 1	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 10	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 2	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 3	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 4	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 5	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 6	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 7	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 8	Apis cerana	1	35.8617	104.1954
China	Zhangzhou, Fujian, replicate 9	Apis cerana	1	35.8617	104.1954
China	Zibo, Shandong	Apis cerana	2	35.8617	104.1954
Finland	Aland	Apis mellifera mellifera	80	60.1785	19.9156
France	Ariege	Apis mellifera	50	43.0	1.5
France	Benac	Apis mellifera	2	46.2276	2.2137
France	Brittany	Apis mellifera	7	48.202	-2.9326
France	Corsica	Apis mellifera	44	42.1512	9.0129
France	Hautes Pyrenees	Apis mellifera	19	46.2276	2.2137
France	Herault	Apis mellifera	7	46.2276	2.2137
France	Isere	Apis mellifera	17	46.2276	2.2137
France	Ouessant	Apis mellifera	11	48.4637	-5.0833
France	Ouessant	Apis mellifera mellifera	30	48.4637	-5.0833
France	Porquerolles	Apis mellifera	15	46.2276	2.2137
France	Reunion	Apis mellifera	36	46.2276	2.2137
France	Sarthe	Apis mellifera	17	46.2276	2.2137
France	Savoie	Apis mellifera	31	46.2276	2.2137
France	Sollies	Apis mellifera	14	46.2276	2.2137
France	Tarn	Apis mellifera	75	43.9	2.2
France	Unknown	Apis mellifera	1489	46.2276	2.2137
France	Vaucluse	Apis mellifera	178	44.0	5.15
Germany	Berlin	Apis mellifera carnica	12	51.1657	10.4515
Germany	Hesse	Apis mellifera carnica	5	51.1657	10.4515
Germany	Kirchhain	Apis mellifera carnica	7	51.1657	10.4515
Germany	North Rhine-Westphalia	Apis mellifera	2	51.1657	10.4515
Germany	Unknown	Apis mellifera	6	51.1657	10.4515
India	Bangalore	Apis florea	4	20.5937	78.9629
India	Jammu&Kashmir	Apis cerana	14	20.5937	78.9629
India	Unknown	Apis andreniformis	1	20.5937	78.9629
India	Unknown	Apis cerana	1	20.5937	78.9629
India	Unknown	Apis florea	1	20.5937	78.9629
Indonesia	Java, Cilacap	Apis cerana	10	-0.7893	113.9213
Indonesia	Java, Purbalingga	Apis cerana	10	-0.7893	113.9213
Indonesia	Unknown	Apis cerana	1	-0.7893	113.9213
Ireland	Clare	Apis mellifera mellifera	8	53.4129	-8.2439
Ireland	Cork	Apis mellifera mellifera	6	53.4129	-8.2439
Ireland	County Kildare	Apis mellifera	1	53.4129	-8.2439
Ireland	County Monaghan	Apis mellifera	1	53.4129	-8.2439
Ireland	County Tipperary	Apis mellifera	1	53.4129	-8.2439
Ireland	County Wicklow	Apis mellifera	1	53.4129	-8.2439
Ireland	Donegal	Apis mellifera mellifera	46	54.6538	-8.1103
Ireland	Dublin	Apis mellifera	1	53.4129	-8.2439
Ireland	Dublin	Apis mellifera mellifera	2	53.4129	-8.2439
Ireland	Galway	Apis mellifera	1	53.2707	-9.0568
Ireland	Galway	Apis mellifera mellifera	52	53.2707	-9.0568
Ireland	Galyway	Apis mellifera	1	53.4129	-8.2439
Ireland	Kerry	Apis mellifera mellifera	4	53.4129	-8.2439
Ireland	Laois	Apis mellifera mellifera	3	53.4129	-8.2439
Ireland	Louth	Apis mellifera mellifera	17	53.4129	-8.2439
Ireland	Offaly	Apis mellifera mellifera	5	53.4129	-8.2439
Ireland	Roscommon	Apis mellifera mellifera	3	53.4129	-8.2439
Ireland	Tipperary	Apis mellifera mellifera	10	53.4129	-8.2439
Ireland	WestMeath	Apis mellifera mellifera	1	53.4129	-8.2439
Italy	Bologna	Apis mellifera ligustica	5	41.8719	12.5674
Italy	Unknown	Apis mellifera	50	41.8719	12.5674
Italy	Unknown	Apis mellifera ligustica	216	41.8719	12.5674
Japan	Akita, Yurihonjyo	Apis cerana japonica	1	36.2048	138.2529
Japan	Aomori, Hirosaki	Apis cerana japonica	3	40.8244	140.7473
Japan	Aomori, Mutsu	Apis cerana japonica	1	40.8244	140.7473
Japan	Ehime, Toon	Apis cerana japonica	5	33.8416	132.7657
Japan	Fukuoka, Kurume	Apis cerana japonica	2	33.6064	130.418
Japan	Fukuoka, Onojyo	Apis cerana japonica	1	33.6064	130.418
Japan	Fukushima, Fukushima	Apis cerana japonica	1	36.2048	138.2529
Japan	Fukushima, Iwaki	Apis cerana japonica	1	36.2048	138.2529
Japan	Ibaraki, Bando	Apis cerana japonica	1	36.2048	138.2529
